TID,Tweet,Subjects,Action/Phrases,Category
1519993051615223808,"Russia killed Vira Hyrych, a @RFERL journalist. She was going to bed when a Russian ballistic missile hit her apartment in central Kyiv. Russia’s barbarism is incomprehensible. We call on media organizations to condemn the murder of Vira and all other innocent Ukrainians.",['media organizations'],['condemn the murder of Vira and all other innocent Ukrainians'],CTA
1524048169394667521,"Injured defenders of #Azovstal are in complete unsanitary conditions without any necessary medication, they lack water and food. We call on the intʼl community to help us evacuate wounded people who are out of the battle & should be properly treated acc. to the Geneva Convention.",['intʼl community'],['help us evacuate wounded people who are out of the battle & should be properly treated acc. to the Geneva Convention'],CTA
1528037917482004482,The only thing #Russia can put in #Ukrainian lives is devastation. Together we must stop the Russian bloody refit. #StopRussianWar #ArmUkraineNow,['Together'],['must stop the Russian bloody refit'],CTA
1530867318623977472,"The whole civilized world must recognize russia as a state that sponsors & carries out terrorism, commits genocide against the 🇺🇦 people. I also call upon members of @natopapress: be leaders, bring the truth about this war to your people. Stop russian propaganda!","['whole civilized world', 'natopapress']","['recognize russia as a state that sponsors & carries out terrorism, commits genocide', 'be leaders, bring the truth about this war to your people', 'Stop russian propaganda']",CTA
1537165501461315584,Every third Russian bullet shot at Ukrainians is sponsored by taxes paid by the Western business in Russia. We urge British companies to exit Russian market completely and immediately thus showing their solidarity with businesses who have already done so.,['British companies'],"['exit Russian market', 'showing their solidarity with businesses who have already done so']",CTA
1537765550025502720,UK Home Secretary approves extradition of WikiLeaks publisher Julian Assange to the US. Please read our Red Alert on him. He helped bring to light the torture and atrocities committed by the United States during its so-called War on Terror. #JulianAssange,[],['Please read our Red Alert on him'],CTA
1538624999795343361,June 19 - Father's Day. Lysychansk. A dad near the body of his son killed by russian shelling. How many more sons&daughters we’ll have to loose before the world realises that Ukraine must win? We have to stop russian terrorist&this massacre! Pic by Aris Messinis/AFP/Scanpix/LETA,[],['stop russian terrorist&this massacre'],CTA
1539171793587605506,"russia's MLRS Grad destroyed another school in Avdiivka with incendiary munitions. Let's stop russia, which spreads death, destruction and ignorance.",[],['stop russia'],CTA
1540937458510086145,"#Russia fired a number of missiles at #Kyiv. One ""high precision"" missile hits ""military object"" - a high rise residential building in Kyiv. People trapped in debris reported.🇷🇺must be punished for all its #warcrimes.🇺🇦must be provided with heavy weapons to #StopRussianAggression",[],"['🇷🇺must be punished for all its', '🇺🇦must be provided with heavy weapons to #StopRussianAggression']",CTA
1540983570960891904,This 7 y.o. Ukrainian kid was sleeping peacefully in Kyiv until a Russian cruise missile blasted her home. Many more around Ukraine are under strikes. G7 summit must respond with more sanctions on Russia and more heavy arms for Ukraine. Russia’s sick imperialism must be defeated.,['G7 summit'],"['more sanctions on Russia', 'more heavy arms for Ukraine']",CTA
1541729959147962369,"🇺🇦 @ZelenskyyUa: “Only totally insane terrorists, who should have no place on earth, can strike missiles at civilian objects. #Russia must be recognized as a state-sponsor of terrorism. The world can and therefore must stop #Russian terror.” Full:",['world'],"['Russia must be recognized as a state-sponsor of terrorism', 'must stop #Russian terror']",CTA
1541836326164541440,"Dear G7 leaders, it’s time for the G to stand for Great! May the Great 7 secure peace in Europe by neutralising the largest terrorist-state on Earth! 🇨🇦🇨🇵🇬🇧🇩🇪🇮🇹🇯🇵🇺🇲🇪🇺🤝🇺🇦",['G7 leaders'],['secure peace in Europe by neutralising the largest terrorist-state on Earth'],CTA
1542109218999787520,Inspiring to have @ZelenskyyUa at the #NATOSummit today. We stand in solidarity with Ukraine’s fight for freedom and self-determination. Now is the time to double down and ensure Ukraine defeats Russia so President Zelenskyy can negotiate from a position of strength.,['NATOSummit'],"['stand in solidarity with Ukraine’s fight for freedom and self-determination', 'double down and ensure Ukraine defeats Russia so President Zelenskyy can negotiate from a position of strength']",CTA
1544314949496872960,Around UAH 200M have been donated for the Army of Drones! We've launched this project only on Friday; and already 2 Warmate unmanned systems are in purchase process for Army. Also dozens of your drones arrived to the warehouse. Don't stop with dronations:,[],"[""Don't stop with dronations""]",CTA
1545441920909975553,Kharkiv. russia continues to deliberately kill civilians. It should be officially designated as a state sponsor of terrorism as soon as possible. Photo by Evgeniy Maloletka,[],['It should be officially designated as a state sponsor of terrorism as soon as possible'],CTA
1546494519780278274,"Czechs have bitter memories of russian tanks in Prague, 1968. Now they can see them from a different angle. Today an exhibition of rus weapons destroyed by 🇺🇦 warriors opens in the capital of 🇨🇿.Ukraine is a shield in the East of Europe. Give us the tools and we will end the war!",[],['Give us the tools and we will end the war'],CTA
1547528614060646400,A baby killed after #Russia’s missile attack at the centre of #Vinnytsia today. Russia stole the future of this baby who was supposed to live a happy life in a free #Ukraine. 🇷🇺is a criminal. It must be punished for its terrible #warcrimes against Ukrainians. #StandWithUkraine,[],['It must be punished for its terrible #warcrimes against Ukrainians'],CTA
1548582054945853440,"Eight years ago russian terrorists shot down MH17 and killed 298 people. Evil wasn't punished, and now the number of russia’s victims is dramatically increasing up to dozens of thousands civilians. #stoprussia don't give them any chance to kill millions!",[],"[""stoprussia don't give them any chance to kill millions""]",CTA
1548627642127208449,"The funeral of one of the hundreds of Ukrainian children killed by russians in #Vinnytsia Lisa, a 4-year-old. The world must stop thus russian evil and punish russian terrorists. Photo by @suspilne_news",[],"['stop thus russian evil', 'punish russian terrorists']",CTA
1548843996914393089,"After I was not able to log into @EndtheDamnWars after a brief hiatus, I've realized that @TwitterSupport permanently banned our account without ever giving a reason why. I've appealed but would really appreciate help amplifying this to try and get the decision reversed.",['TwitterSupport'],['get the decision reversed'],CTA
1555517770254753795,"#Russia is playing a famine game with the world, denying people access to food. The only game-changing rule is spreading the truth. 📢 Visit #Ukraine’s online platform Help Ukraine be vocal! #RussiaHungerGames #HungerMadeinRussia",[],['Visit #Ukraine’s online platform Help Ukraine be vocal'],CTA
1556939792406953986,Another 🇺🇦’s friend is joining the UK-led programme to increase #UAarmy combat capability. 🇫🇮 will send its service members to the 🇬🇧 to train our troops. Let’s forge victory over the terrorist state together! Thanks to @DefenceFinland @anttikaikkonen,[],['forge victory over the terrorist state together'],CTA
1560269499244638212,IF YOU THINK ABOUT IT NORTH KOREA DIDN'T EVEN START THE NUCLEAR CRISIS BECAUSE IT WAS THE US THAT THREATENED TO NUKE THEM DURING THE WAR AND PUT NUKES IN KOREA AFTER 1958. NORTH KOREA ACTUALLY HAS A NO FIRST STRIKE POLICY. HAVE YOU EVER HEARD OF @NODUTDOL? YOU SHOULD FOLLOW THEM,[],['FOLLOW THEM'],CTA
1560952848623476737,"Russia’s Ambassador Mikhail Ulyanov is calling for the elimination of the Ukrainian nation. This genocidal language must not be tolerated. We call on the entire diplomatic community in Vienna to boycott Ulyanov, and on the host country, Austria - to declare him persona non grata.","['entire diplomatic community in Vienna', 'Austria']","['boycott Ulyanov', 'declare him persona non grata']",CTA
1561613001827950592,#Russia is playing famine games with the world by weaponising the food. To change the rules of this game – read and share the Manual on game-changing rules to stop #RussiasFamineGame. Help #Ukraine be vocal! To download the Manual 👇,[],"['read and share the Manual on game-changing rules to stop #RussiasFamineGame', 'Help #Ukraine be vocal!']",CTA
1562069673176358912,"Crimea is a place where Russian invasion started 8y ago. Failure of international community to act assertively in 2014 led to a full-scale 🇷🇺 war against 🇺🇦. We must learn the lesson. Military& political support to 🇺🇦 must be scaled-up, no place for war fatigue! #CrimeaPlatform",[],"['We must learn the lesson', 'Military& political support to 🇺🇦 must be scaled-up']",CTA
1563073065852227585,The famine begins with #Russia’s lies. Check out what is happening with global food security and what are the threats? 📸Efrem Lukatsky @AP Read more: #RussiasFamineGame,[],['Check out what is happening with global food security and what are the threats'],CTA
1563130920466464768,"FM @DmytroKuleba: By ordering to attack Ukraine, Putin committed a crime of aggression, the gravest of all crimes against international peace. We call on our international partners to support the establishment of the Special Tribunal for the Crime of Aggression against Ukraine.",['international partners'],['support the establishment of the Special Tribunal for the Crime of Aggression against Ukraine'],CTA
1563275856734461952,Joint music forces of @U24_gov_ua: @edsheeran and 🇺🇦 band Antytila supported UNITED24 initiative during the concert in Warsaw. No doubts that world’s talented people are on Ukrainian side. Join & donate for the soonest victory of freedom:,[],['Join & donate for the soonest victory of freedom'],CTA
1568518411239493632,"Ukrainian troops are advancing in eastern Ukraine, liberating more cities and villages. Their courage coupled with Western military support brings astonishing results. It’s crucial to keep sending arms to Ukraine. Defeating Russia on the battlefield means winning peace in Ukraine",['Western military support'],['keep sending arms to Ukraine'],CTA
1569763880909283332,"3.00 pm moments before #77UNGA begins … the war must end during this session, russia must be held accountable. Let’s make #77UNGA the session of the end of impunity and restoration of respect of UN Charter. The choice is yours, UN Members!",['UN Members'],"['the war must end during this session', 'make #77UNGA the session of the end of impunity and restoration of respect of UN Charter']",CTA
1570060802270298112,russian torture chamber in liberated Balakliya. The Lord's Prayer was carved on the wall by Ukrainian prisoners. russia must be held accountable for this blatant genocide.,[],['russia must be held accountable'],CTA
1570869189971419136,"Mass graves in Izium prove that whenever we liberate territories, there is evidence of horrendous Russian crimes. One can only imagine the hell that people in other Russia-occupied territories still go through. We urgently need more weapons to liberate them and save their lives!",[],['urgently need more weapons'],CTA
1572303053222707203,"Met with Australian Foreign Minister @SenatorWong in New York to thank her for Australia’s unwavering support. We discussed further military aid to Ukraine. I requested to consider sending us more Bushmasters, given the important role they play in countering Russian aggression.",['SenatorWong'],['requested to consider sending us more Bushmasters'],CTA
1572589126037413889,"Together with @Denys_Shmyhal thanked Secretary General @antonioguterres for his personal efforts supporting Ukraine. But now we need even more international help to free 🇺🇦 doctors, women and children from Russian captivity. I believe that I was heard and we will get the help.",[],"['free 🇺🇦 doctors, women and children from Russian captivity']",CTA
1572636160509476864,Met with my Finnish counterpart Pekka @Haavisto. We focused on further military aid to Ukraine as we defend our people and our land from the ongoing Russian aggression. I called on Finland to join the Baltic states and Poland in sealing the border with Russia.,['Finland'],['join the Baltic states and Poland in sealing the border with Russia'],CTA
1579235051602333696,"Ukraine war- Not in my name. We did not consent to £7.5bn being given to the government's Ukraine proxy war, nor did we consent to our economy being ruined by these self- defeating policies. We demand a Referendum; we want democracy! Please sign and share:",[],"['demand a Referendum', 'Please sign and share']",CTA
1580298222618411008,"Belarus, DPRK, Nicaragua, Syria - AGAINST & russia in shambles. Never before we’ve seen such a support of territorial integrity of Ukraine, & defense of Principles of Charter of UN. Crimea, Kherson, Donetsk, Luhansk Zapporizhzhia are Ukraine. Putin must stop the war and withdraw!",['Putin'],['must stop the war and withdraw'],CTA
1582052965757595659,Head over to Brooklyn NY if you can. Folks are gathering in the next 2-3 hours. #stopUNinvasionofHaiti #NoMore,[],"['Head over to Brooklyn NY', 'gathering in the next 2-3 hours']",CTA
1582653838779387907,"Since the beginning of #russia's use of Iranian-made kamikaze drones, in 36 days, the #Ukrainian forces have shot down 223 ""Shahed-136"". #Iran must be sanctioned for helping russia carry out terror against Ukrainians. #russiaisateroriststate #StandWithUkraine",[],['Iran must be sanctioned for helping russia carry out terror against Ukrainians'],CTA
1582753571493191680,"As Chair of @ukr_nat I call on @UNESCO &partners to condemn ""martial law"" imposed by #russia in temporarily occupied🇺🇦territories of Zaporizhzhia,Kherson,Luhansk&Donetsk regions which endangers🇺🇦cultural heritage&creates a pretext for illicit transfer of🇺🇦cultural objects to🇷🇺1/2",['UNESCO &partners'],"['condemn ""martial law"" imposed by #russia in temporarily occupied🇺🇦territories']",CTA
1584219667362902016,"Due to #russian invasion of #Ukraine, 90% of Ukraine's wind energy infrastructure & about 40-50% of the solar energy infrastructure is destroyed. #russia keeps terrorizing Ukrainians and it's course to create energy crisis in our country. Help us protect 🇺🇦 sky now. Stop🇷🇺terror",[],"['Help us protect 🇺🇦 sky now', 'Stop🇷🇺terror']",CTA
1584274113220124672,"Every day, #UAarmy liberates our land from rus dirt. The thought of a ""dirty bomb"" is repulsive to us. We invite @UN @iaeaorg monitoring missions to visit🇺🇦.The world should provide a response to rus nuclear blackmail.We demand adherence to paragraph 4 of the Budapest Memorandum","['UN @iaeaorg', 'world']","['visit🇺🇦.', 'provide a response to rus nuclear blackmail', 'adherence to paragraph 4 of the Budapest Memorandum']",CTA
1592596964977565696,"The best way to fight Russian terror — ensure that Ukraine has enough weapons. UNITED24 Ambassador @TimothyDSnyder announces fundraising campaign on anti drone system “Shahed Hunter”. Goal: $ 1,25 mln. Support here:",[],"['ensure that Ukraine has enough weapons', 'Support here']",CTA
1594169560432869377,I’m moved by the energy & power of the 300 conscious people who came together today at @PeoplesForumNYC to oppose this US-NATO proxy war. 2K people online! Join us & the @answercoalition as we build actions to defeat the warmongers in Washington. Watch:,[],['Join us & the @answercoalition as we build actions to defeat the warmongers in Washington'],CTA
1595734416953073668,"We call on Int'l community,incl #CrimeaPlatform,to exert maximum pressure on #russia which sentenced today🇺🇦citizen journalists Osman Arifmemetov,Ruslan Suleimanov,Rustem Sheikhaliev+activists Yashar Muedinov&Enver Ametov to draconian terms 4 their position that #CrimeaIsUkraine","[""Int'l community"", 'CrimeaPlatform']",['exert maximum pressure on #russia'],CTA
1596825422926270464,Making Russia Pay: Much of Russia’s present & future trade earnings surpluses will be needed for domestic needs but a large fraction should go to Ukraine; obstacle isn’t economic but political & whoever ultimately inhabits Kremlin should be made to agree,['whoever ultimately inhabits Kremlin'],"['Making Russia Pay', 'a large fraction should go to Ukraine']",CTA
1597688796149006337,"Ukraine needs not only victory, but also justice. So, in my address to @UKParliament, I called on all those supporting our people to take a consistent step and support the UN General Assembly resolution on creation of a special tribunal on the ru-aggression crime against Ukraine.","['UKParliament', 'all those supporting our people']","['take a consistent step', 'support the UN General Assembly resolution on creation of a special tribunal on the ru-aggression crime against Ukraine']",CTA
1597858115419971584,#Solidarity to all @CWUnews @ucu & @NEUnion members in sixth form colleges on strike today. In London join the rally at 1pm Kings X. In the face of #CostOfLivingCrisis don’t let racism ever divide us! #EnoughIsEnough #RefugeesWelcome #BlackLivesMatter,['CWUnews @ucu & @NEUnion members'],"['join the rally', 'don’t let racism ever divide us']",CTA
1597885345173221377,"#russia continues reprisals with #CrimeanTatars. Marlen Mustafaiev, activist, father of 2,member of NGO""Crimea Solidarity"" was sentenced today to 17 years for his pro🇺🇦position.We call on our partners to condemn this""verdict""&⬆️sanctions on #russia. Otherwise🇷🇺will not stop",['partners'],"['condemn this""verdict""&⬆️sanctions on #russia']",CTA
1598379366328766486,"At our meeting with @MatteoMecacci we discussed in detail Russia’s crimes and the need for accountability. I called on ODIHR to pay a serious and special attention to Russia’s abduction of Ukrainian children, one of the most cynical crimes of Russia’s genocidal war on Ukraine.",['ODIHR'],['pay a serious and special attention to Russia’s abduction of Ukrainian children'],CTA
1599679224628928512,Deeply saddened by a horrible act of violence in the north of the city of #Goma #DRC which led to more than 100 victims. My prayers and condolences go to the families of the perished. I wish a speedy recovery to all wounded. Perpetrators must be identified and held accountable!,[],['Perpetrators must be identified and held accountable'],CTA
1599800510969970689,"#russian terrorists fired more than 70 missiles today,targeting energy infrastructure&residential buildings.🇺🇦defence forces shot down more than 60.Many Ukrainians are left without energy,heating&water supply in a freezing cold weather.🇺🇦needs more weapons to protect its sky. Now",[],['.🇺🇦needs more weapons to protect its sky'],CTA
1602330251450892290,Grateful to @JosepBorrellF for inviting me to today’s EU Foreign Affairs Council. My message was simple: No Step Back in supporting Ukraine until Russian aggression is defeated. Sanctions on Russia and military assistance to Ukraine should be significantly stepped up.,['EU Foreign Affairs Council'],"['No Step Back in supporting Ukraine', 'Sanctions on Russia and military assistance to Ukraine should be significantly stepped up']",CTA
1605743843881603072,"ANNOUNCING: On February 19 we are going to Washington DC to Rage Against the War Machine! We will rally at the Lincoln Memorial with vets, speakers, rock bands, and comedians then march to the White House to demand an end to the billions going to Ukraine!",[],"['we are going to Washington DC', 'rally at the Lincoln Memorial']",CTA
1606607692872781824,"Christmas Eve. Russian terror strike on Kherson leads to multiple civilian casualties. While families in Europe, North America, and beyond prepare festive dinners, spare a thought for Ukraine which is fighting evil right now. We need your active and lasting support to prevail.",[],"['spare a thought for Ukraine', 'active and lasting support to prevail']",CTA
1608115313337409538,"#russian occupiers in #Crimea sentenced🇺🇦citizen journalist Iryna Danilovych to 7 years in prison.This is nothing but weakness&revenge for her active position.We call on our partners to condemn this absurd ""verdict""& ⬆️pressure on🇷🇺to release🇺🇦political prisoners&restore justice.",['our partners'],"['condemn this absurd ""verdict', 'pressure on🇷🇺to release🇺🇦political prisoners&restore justice']",CTA
1610993532462059521,#RAGEAGAINSTTHEWARMACHINE 🇺🇸Protest march on Feb. 19th. in Washington DC starting at the #LincolnMemorial Pls. share🙏☮ @georgegalloway #NickBrana,[],"['Protest march on Feb. 19th. in Washington DC starting at the #LincolnMemorial', 'Pls. share']",CTA
1611196002320392207,Sign up NOW. Free! While you still can @No2NatoNo2War #Russia #UkraineRussiaWar️,[],['Sign up NOW'],CTA
1611522326100836354,First 200 seats taken. Register NOW #No2Nato #No2war The only anti-NATO show in town! @No2NatoNo2War #Russia #Ukraine #Nato @MaxBlumenthal @anyaparampil @ClareDalyMEP @Lowkey0nline,[],['Register NOW'],CTA
1613234291919446033,"❓Isn't it amazing how many UK journalists have been silent while Julian #Assange has been persecuted in Belmarsh❓ We're on the side of those who expose war crimes, not those who commit them. We need you to join us as a member. Just go here 👉",[],['join us as a member.'],CTA
1614267333047885827,"Each barrage of missiles further exhausts Russian stocks. However, they are still able to produce new ones. We can and must kill their missile and drone industry with a mass sanctions strike! I urge G7 and the EU to implement relevant sanctions proposed by Ukraine without delay.","['G7', 'EU']","['must kill their missile and drone industry with a mass sanctions strike', 'implement relevant sanctions proposed by Ukraine without delay']",CTA
1614311129727074305,"Horrifying 🇷🇺 attack on #Dnipro. As a result of #russia's barbaric missile strike on residential building, lives of 5 people were cut short. 39 wounded, including 7 children. We call on our partners for strong reaction - weapons for 🇺🇦 and tough sanction against 🇷🇺.",['partners'],"['strong reaction', 'weapons for 🇺🇦 and tough sanction against 🇷🇺.']",CTA
1615368574109089793,🇺🇦 President of #Ukraine @ZelenskyyUa: Now we need even greater cohesion throughout the free world. And this is the only way to end full-scale aggression and total terror. The energy of the struggling world must not weaken.,['free world'],"['greater cohesion', 'to end full-scale aggression and total terror', 'energy of the struggling world must not weaken']",CTA
1619004096622755841,"Today, we commemorate victims of #Holocaust. Lives of millions #Jews were cut short by #Nazi regime, as🇺🇦survived #famine 1932-1933 & #CrimeanTatar - deportation 1944. 🇷🇺war against🇺🇦is cynical repetition of darkest pages in world history. Our common duty is to put an end to it.",[],['put an end to it'],CTA
1619991947594301440,🇱🇹 support organisations join together to buy radars to help protect the sky of 🇺🇦. 5 mln euro for 5 radars. Please help us and help 🇺🇦! Paypal: mes@stipruskartu.lt Bank transfer: Vsi Melyna ir geltona LT81 7300 0101 7572 0500 Swedbank SWIFT: HABALT22 Purpose: Lets radar,[],"['buy radars to help protect the sky of 🇺🇦.', 'Please help us', 'help 🇺🇦!']",CTA
1620700402705637376,Over last day #russians killed 4 civilians in #Donetsk region. Six more people were injured. 🇷🇺 occupiers turned Eastern and Southern regions of #Ukraine into the territories of terror. Surviving became the main skill of people there. We need to speed up to stop this terror.,[],['speed up to stop this terror'],CTA
1622642023697088517,Ukrainian figure skater Dmytro Sharpar was killed near Bakhmut.Before the war Dmytro participated in the Youth Olympic Games. russia is sending its troops to kill Ukrainians. It also wants to send its athletes to kill the reputation of Olympics. We must stop them from doing both!,[],['stop them from doing both'],CTA
1628018556142071808,"Russia is heavily shelling Kherson. Missiles against people, residential buildings, pharmacies, markets, vehicle parks... To defeat Russian invaders on Ukrainian land is to save both Ukraine & other nations in Europe, which Russia wants to conquer, from terror. Terror must lose!",[],['Terror must lose'],CTA
1629091864031727617,"A year ago Russia started full scale war against Ukraine, many doubted if Ukrainians would withstand. They did, their moral victory is great. Today many ask, if Ukraine can win militarily. The answer is yes and we must send more weapons, more help. Ruzzia delenda est",[],"['send more weapons, more help', 'Ruzzia delenda est']",CTA
1496893127906533377,"The press, media and political class will have you believe these are plucky Ukrainians taking on the evil Russia. Simple truth is they are fascists that deserve everything that comes their way. No nazis deserve our support, shame on the UK government.","['press', 'media', 'political class', 'UK government']","['fascists', 'nazis']",DE
1496966148088291335,"Dear Black people, Don’t let Starr convince you to defend the US/NATO aggressions that caused this conflict. US/NATO turned Libya into a hell scape for Black people and they’re at fault in Ukraine too. There are neo-Nazis in Ukraine government. Fact. @terrelljstarr #NotoNATO","['US', 'NATO', 'Ukraine', '@terrelljstarr']","['turned Libya into a hell scape', 'they are at fault in Ukraine']",DE
1497078758859231270,"February 23. #Putin lays wreath at the Tomb of the Unknown Soldier. What was on this monster's mind at that time? He knew that the next day he’ll send today's soldiers of #Russia to a pointless death. For him, just spit on it all. What about Russian mothers?",['Putin'],"[""monster's"", ""send today's soldiers of #Russia to a pointless death""]",DE
1497228790933725199,"Occupy Democrats are the worst and are hypocrites too. Americans aren’t allow to possess AR-15’s. However, Neo-Nazis in the Ukrainian military are allowed to possess AR-15’s so Nazis can kill people. #Ukraine #UkraineRussiaConflict","['Occupy Democrats', 'Neo-Nazis']","['are hypocrites', 'allowed to possess AR-15 so Nazis can kill people']",DE
1497269427154440193,"💬 President #Putin: Banderites and neo-Nazis are putting up heavy weapons, including MLRS, right in the central districts of large cities, including Kiev and Kharkov. In effect, they are acting in the same way that terrorists act all over the world – using people as shields","['Banderites', 'neo-Nazis']","['putting up heavy weapons, including MLRS, right in the central districts of large cities', 'the same way that terrorists act all over the world using people as shields']",DE
